Year,Region,Dengue fever
2015,Riyadh,0
2015,Makkah,855
2015,Jeddah,3161
2015,Ta`if,16
2015,Medinah,10
2015,Qaseem,0
2015,Eastern,1
2015,Al-Ahsa,0
2015,Hafr Al-Baten,0
2015,Aseer,0
2015,Bishah,0
2015,Tabouk,0
2015,Ha`il,0
2015,Northern,0
2015,Jazan,266
2015,Najran,3
2015,Al-Bahah,0
2015,Al-Jouf,0
2015,Qurayyat,0
2015,Qunfudah,0
2016,Riyadh,4
2016,Makkah,450
2016,Jeddah,4323
2016,Ta`if,31
2016,Medinah,56
2016,Qaseem,0
2016,Eastern,9
2016,Al-Ahsa,1
2016,Hafr Al-Baten,0
2016,Aseer,0
2016,Bishah,0
2016,Tabouk,0
2016,Ha`il,0
2016,Northern,0
2016,Jazan,550
2016,Najran,2
2016,Al-Bahah,0
2016,Al-Jouf,0
2016,Qurayyat,0
2016,Qunfudah,2
2017,Riyadh,0
2017,Makkah,372
2017,Jeddah,2656
2017,Ta`if,6
2017,Medinah,105
2017,Qaseem,0
2017,Eastern,0
2017,Al-Ahsa,0
2017,Hafr Al-Baten,0
2017,Aseer,0
2017,Bishah,0
2017,Tabouk,0
2017,Ha`il,0
2017,Northern,0
2017,Jazan,320
2017,Najran,3
2017,Al-Bahah,0
2017,Al-Jouf,0
2017,Qurayyat,0
2017,Qunfudah,0
2018,Riyadh,0
2018,Makkah,163
2018,Jeddah,4942
2018,Ta`if,11
2018,Medinah,41
2018,Qaseem,0
2018,Eastern,0
2018,Al-Ahsa,0
2018,Hafr Al-Baten,0
2018,Aseer,0
2018,Bishah,0
2018,Tabouk,0
2018,Ha`il,0
2018,Northern,0
2018,Jazan,174
2018,Najran,14
2018,Al-Bahah,0
2018,Al-Jouf,0
2018,Qurayyat,0
2018,Qunfudah,0
2019,Riyadh,0
2019,Makkah,0
2019,Jeddah,0
2019,Ta`if,0
2019,Medinah,0
2019,Qaseem,0
2019,Eastern,0
2019,Al-Ahsa,0
2019,Hafr Al-Baten,0
2019,Aseer,0
2019,Bishah,0
2019,Tabouk,0
2019,Ha`il,0
2019,Northern,0
2019,Jazan,0
2019,Najran,0
2019,Al-Bahah,0
2019,Al-Jouf,0
2019,Qurayyat,0
2019,Qunfudah,0
2020,Riyadh,0
2020,Makkah,196
2020,Jeddah,1219
2020,Ta`if,0
2020,Medinah,15
2020,Qaseem,0
2020,Eastern,0
2020,Al-Ahsa,0
2020,Hafr Al-Baten,0
2020,Aseer,0
2020,Bishah,0
2020,Tabouk,0
2020,Ha`il,0
2020,Northern,0
2020,Jazan,876
2020,Najran,14
2020,Al-Bahah,0
2020,Al-Jouf,0
2020,Qurayyat,0
2020,Qunfudah,55
2021,Riyadh,0
2021,Makkah,1146
2021,Jeddah,2186
2021,Ta`if,1
2021,Medinah,21
2021,Qaseem,0
2021,Eastern,0
2021,Al-Ahsa,0
2021,Hafr Al-Baten,0
2021,Aseer,0
2021,Bishah,0
2021,Tabouk,0
2021,Ha`il,0
2021,Northern,0
2021,Jazan,57
2021,Najran,7
2021,Al-Bahah,0
2021,Al-Jouf,0
2021,Qurayyat,0
2021,Qunfudah,3
2022,Riyadh,115
2022,Makkah,383
2022,Jeddah,2705
2022,Ta`if,0
2022,Medinah,37
2022,Qaseem,0
2022,Eastern,0
2022,Al-Ahsa,0
2022,Hafr Al-Baten,0
2022,Aseer,0
2022,Bishah,0
2022,Tabouk,0
2022,Ha`il,0
2022,Northern,0
2022,Jazan,384
2022,Najran,23
2022,Al-Bahah,0
2022,Al-Jouf,0
2022,Qurayyat,0
2022,Qunfudah,0
2023,Riyadh,289
2023,Makkah,3366
2023,Jeddah,10287
2023,Ta`if,12
2023,Medinah,500
2023,Qaseem,0
2023,Eastern,0
2023,Al-Ahsa,0
2023,Hafr Al-Baten,0
2023,Aseer,0
2023,Bishah,50
2023,Tabouk,0
2023,Ha`il,0
2023,Northern,0
2023,Jazan,271
2023,Najran,200
2023,Al-Bahah,0
2023,Al-Jouf,0
2023,Qurayyat,0
2023,Qunfudah,35
